"","Water Type","fresh_brine","temperature_C","pH","collection_date","collection_monthname","collection_year","collection_mo.yr"
"1","Mono Lake","brine",20.98,9.89,2022-08-14,"August",2022,8.2022
"2","Mono Lake","brine",21.01,9.88,2022-08-14,"August",2022,8.2022
"3","Mono Lake","brine",21.65,9.87,2022-08-17,"August",2022,8.2022
"4","Mono Lake","brine",20.77,9.83,2022-08-17,"August",2022,8.2022
"5","Mono Lake","brine",19.96,9.87,2022-08-14,"August",2022,8.2022
"6","Mono Lake","brine",19.89,9.88,2022-08-14,"August",2022,8.2022
"7","Mono Lake","brine",21.35,9.89,2022-08-14,"August",2022,8.2022
"8","Mono Lake","brine",27.11,9.84,2022-08-18,"August",2022,8.2022
"9","Mono Lake","brine",20.98,9.86,2022-08-17,"August",2022,8.2022
"10","Mono Lake","brine",21.58,9.88,2022-08-17,"August",2022,8.2022
"11","Mono Lake","brine",20.53,9.82,2022-10-15,"October",2022,10.2022
"12","Mono Lake","brine",18.44,9.68,2022-10-15,"October",2022,10.2022
"13","Mono Lake","brine",14.31,9.87,2022-10-18,"October",2022,10.2022
"14","Mono Lake","brine",14.22,9.92,2022-10-18,"October",2022,10.2022
"15","Mono Lake","brine",15.6,9.91,2022-10-18,"October",2022,10.2022
"16","Mono Lake","brine",15.46,9.82,2022-10-18,"October",2022,10.2022
"17","Mono Lake","brine",16.06,9.85,2022-10-18,"October",2022,10.2022
"18","Mono Lake","brine",18.6,9.89,2022-10-18,"October",2022,10.2022
"19","Mono Lake","brine",16.84,9.79,2022-10-18,"October",2022,10.2022
"20","Mono Lake","brine",17.11,9.79,2022-10-18,"October",2022,10.2022
"21","Mono Lake","brine",14.03,9.85,2022-10-19,"October",2022,10.2022
"22","Mono Lake","brine",14.41,9.88,2022-10-19,"October",2022,10.2022
"23","Mono Lake","brine",14.67,9.88,2022-10-19,"October",2022,10.2022
"24","Mono Lake","brine",14.79,9.88,2022-10-19,"October",2022,10.2022
"25","Mono Lake","brine",14.39,9.81,2022-10-19,"October",2022,10.2022
"26","Mono Lake","brine",14.39,9.8,2022-10-19,"October",2022,10.2022
"27","Mono Lake","brine",14.41,9.89,2022-10-19,"October",2022,10.2022
"28","Mono Lake","brine",12.03,10.07,2022-10-19,"October",2022,10.2022
"29","Mono Lake","brine",24.63,9.98,2023-08-14,"August",2023,8.2023
"30","Mono Lake","brine",21.75,10.04,2023-08-12,"August",2023,8.2023
"31","Mono Lake","brine",22.13,10.09,2023-08-12,"August",2023,8.2023
"32","Mono Lake","brine",21.94,10.1,2023-08-12,"August",2023,8.2023
"33","Mono Lake","brine",20.77,10.1,2023-08-12,"August",2023,8.2023
"34","Mono Lake","brine",21.41,10.09,2023-08-12,"August",2023,8.2023
"35","Mono Lake","brine",22.47,10.1,2023-08-12,"August",2023,8.2023
"36","Mono Lake","brine",20.75,10.23,2023-08-12,"August",2023,8.2023
"37","Mono Lake","brine",25.77,10.05,2023-08-12,"August",2023,8.2023
"38","Mono Lake","brine",24.29,9.97,2023-08-12,"August",2023,8.2023
"39","Mono Lake","brine",22.3,10.1,2023-08-12,"August",2023,8.2023
"40","Mono Lake","brine",19.15,10.15,2023-08-12,"August",2023,8.2023
"41","Mono Lake","brine",22.51,9.98,2023-08-19,"August",2023,8.2023
"42","Mono Lake","brine",20.82,10.06,2023-08-20,"August",2023,8.2023
"43","Mono Lake","brine",20.82,10.06,2023-08-20,"August",2023,8.2023
"44","Mono Lake","brine",11.18,10.13,2023-10-29,"October",2023,10.2023
"45","Mono Lake","brine",12.8,10.07,2023-10-30,"October",2023,10.2023
"46","Mono Lake","brine",11.86,10.07,2023-10-31,"October",2023,10.2023
"47","Mono Lake","brine",9.63,10.23,2023-10-31,"October",2023,10.2023
"48","Mono Lake","brine",9.34,10.21,2023-10-31,"October",2023,10.2023
"49","Mono Lake","brine",10.59,10.23,2023-10-31,"October",2023,10.2023
"50","Mono Lake","brine",14.29,10.15,2023-10-31,"October",2023,10.2023
"51","Mono Lake","brine",12.34,10.26,2023-10-31,"October",2023,10.2023
"52","Mono Lake","brine",11.71,10.28,2023-10-31,"October",2023,10.2023
"53","Mono Lake","brine",14.22,10.08,2024-05-24,"May",2024,5.2024
"54","Mono Lake","brine",12.85,10.07,2024-05-24,"May",2024,5.2024
"55","Mono Lake","brine",13.26,10.11,2024-05-24,"May",2024,5.2024
"56","Mono Lake","brine",15.49,10.11,2024-05-24,"May",2024,5.2024
"57","Mono Lake","brine",15.68,10.11,2024-05-24,"May",2024,5.2024
"58","Mono Lake","brine",14.39,10.14,2024-05-24,"May",2024,5.2024
"59","Mono Lake","brine",13.48,10.16,2024-05-24,"May",2024,5.2024
