"date","PET"
2023-09-01,0.119303298824624
2023-09-02,0.10130524855876
2023-09-04,0.060365207259974
2023-09-05,0.0808975813203476
2023-09-06,0.0929701453727381
2023-09-07,0.0894100690425193
2023-09-08,0.0894851063759171
2023-09-09,0.107286498474201
2023-09-10,0.0862347692586648
2023-09-11,0.0830868397599191
2023-09-12,0.0854705127012709
2023-09-13,0.0886977438150537
2023-09-14,0.0870314855775055
2023-09-15,0.0817523471347915
2023-09-16,0.0876812191837768
2023-09-17,0.0847879783415951
2023-09-18,0.0857073640616998
2023-09-19,0.0814606611756992
2023-09-20,0.0811573880407574
2023-09-21,0.0663863509842263
2023-09-22,0.0536248185786912
2023-09-23,0.0604480409111801
2023-09-24,0.0726251260765436
2023-09-25,0.0775860518354297
2023-09-26,0.0759239684026544
2023-09-27,0.0745255475029005
2023-09-28,0.0745471619265206
2023-09-29,0.0677686662073742
2023-09-30,0.0643249291047398
2023-10-01,0.0438328427539511
2023-10-02,0.0454617696905979
2023-10-03,0.0470590489009647
2023-10-04,0.0534329474122814
2023-10-05,0.0560610154464523
2023-10-06,0.0616124958065638
2023-10-07,0.067783251788066
2023-10-08,0.068045695914388
2023-10-09,0.0725020310762378
2023-10-10,0.0662173513919417
2023-10-11,0.0578184761826924
2023-10-12,0.0385615548478155
2023-10-13,0.0414480566590285
2023-10-14,0.055139649814325
2023-10-15,0.052844945429365
2023-10-16,0.0623937386062372
2023-10-17,0.0608187026377784
2023-10-18,0.0552584412560435
2023-10-19,0.0574732521727071
2023-10-20,0.0599074009529234
2023-10-21,0.0598099155638534
2023-10-22,0.0614920471147096
2023-10-23,0.0525885963401303
2023-10-24,0.0430611471589716
2023-10-25,0.0521110878432527
2023-10-26,0.048236024781315
2023-10-27,0.0311325998059144
2023-10-28,0.0329570273762277
2023-10-29,0.0225038823275609
2023-10-30,0.0244873981074828
2023-10-31,0.0302399950155718
2023-11-01,0.0322436862594102
2023-11-02,0.0350787324237077
2023-11-03,0.0423019499088766
2023-11-04,0.0438530844661719
2023-11-05,0.0658229937363676
2023-11-06,0.0591189610038804
2023-11-07,0.0395045440802384
2023-11-08,0.0289338314879856
2023-11-09,0.0212621935184182
2023-11-10,0.0255569022488277
2023-11-11,0.0266840602231306
2023-11-12,0.0285360224419711
2023-11-13,0.0498928584738422
2023-11-14,0.0390811429692391
2023-11-15,0.0314100348454775
2023-11-16,0.0335362711074631
2023-11-17,0.02825615908338
2023-11-18,0.0362750371094229
2023-11-19,0.0339285323423894
2023-11-20,0.0211032804221009
2023-11-21,0.0220521834429479
2023-11-22,0.0258742011902217
2023-11-23,0.0329890383893013
2023-11-24,0.0228548485338053
2023-11-25,0.0199798492602252
2023-11-26,0.0150882887894006
2023-11-27,0.0158452003581064
2023-11-28,0.0179669177695938
2023-11-29,0.0205249494352702
2023-11-30,0.0191283109301404
